,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,VNM,9222,9182.0,0.0,40.0,5.9288712991639585,5.9288712991639585,0.0,6.078762431972151
1,2004,VNM,7800,7737.0,0.0,63.0,6.014686888503892,6.014686888503892,0.0,6.172683297833879
2,2005,VNM,5078,5027.0,9.0,42.0,5.962822866181818,5.969768845229974,-0.006945979048155162,5.923906037679613
3,2006,VNM,10152,10090.0,27.0,35.0,6.279945819862011,6.284144405698738,-0.00419858583672761,6.051507967598626
4,2007,VNM,13135,13082.0,15.0,38.0,5.752286195667867,5.754843611039673,-0.0025574153718072967,5.439902306078708
5,2008,VNM,14516,14431.0,9.0,76.0,5.693861134371202,5.694769401984169,-0.0009082676129657597,5.433286709372983
6,2009,VNM,37678,37541.0,0.0,137.0,6.12707450444231,6.12707450444231,0.0,5.923507645125238
7,2010,VNM,39968,39854.0,0.0,114.0,6.455330032073595,6.455330032073595,0.0,6.043666459371311
8,2011,VNM,42659,42479.0,0.0,180.0,6.0468379980238804,6.0468379980238804,0.0,5.4568732867005965
9,2012,VNM,43633,43371.0,0.0,262.0,5.555284166412484,5.555284166412484,0.0,5.048985724161375
10,2013,VNM,38497,37811.0,0.0,686.0,2.8537570952814257,2.8537570952814257,0.0,2.697286610886193
11,2014,VNM,50224,48304.0,611.0,1309.0,2.5583098631164605,2.596377857369722,-0.03806799425326097,2.3395986038372
12,2015,VNM,69434,34103.0,33640.0,1691.0,-0.2387579788940802,1.27386421057981,-1.5126221894738852,-0.9562514453779818
13,2016,VNM,88302,38170.0,48037.0,2095.0,-0.5985877130788017,1.1069875103628317,-1.7055752234416135,-1.365055981734944
14,2017,VNM,77187,35601.0,39916.0,1670.0,-0.5246284422604025,1.2199134477535936,-1.7445418900139906,-1.5442201743746917
